# https://wiki.pcsx2.net/Complete_List_of_Games + https://wiki.pcsx2.net/Complete_List_of_Demos_and_Tool_Discs
# Title;ID
!Que Pasa Neng!;SLES-54604
.hack//Fragment;SLPS-25527
F1 Career Challenge;SLUS-20693 SLES-51584 SLPS-20295, SLKA-15019 (Korea)
F1 Championship Season 2000;SLUS-20103 SLES-50017 SLPS-20044
F1 Racing Championship;SLES-50046, SLES-50047 SLPS-20042
F: Fanatic;SLPM-65297, SLPM-65296 (Limited Edition)
Falling Stars;SLUS-21734 SLES-54795
Fallout: Brotherhood of Steel;SLUS-20539 SLES-51526, SLES-51525 SLPM-65915
Fame Academy;SLES-52060, SLES-52061, SLES-52062
Family Board Games;SLES-53468
Family Feud;SLUS-21446
Family Guy;SLUS-21560 SLES-54126, SLES-54394
Famitsu PS2 October 28, 2005 Special Disc;SLPM-61129
Fantastic 4;SLUS-20615, SLUS-20615GH (Greatest Hits) SLES-53143, SLES-53145, SLES-53281, SLES-53147, SLES-53144, SLES-53146
Fantastic Fortune 2;SLPS-25236
Fantastic Fortune 2: Triple Star;SLPS-25396, SLPM-66838 (Best Hit Selection)
Fantastic Four: Rise of the Silver Surfer;SLUS-21544 SLES-54616, SLES-54776
Fantasy Battle Kouryaku Box;KOEI-00018
Fantavision;SCUS-97105 SCES-50002 SCPS-11002, PAPX-90201 (Demo, Taikenban)
Fatal Frame;SLUS-20388, NPUD-20388 (PS2 Classics) SLES-50821 SLPS-25074, SLPS-73405 (PlayStation 2 the Best), SLPS-73255 (PlayStation 2 the Best Reprint), SCPS-55043, SCPS-55002, SLPM-60167 (Trial), SCPS-56008
Fatal Frame II: Crimson Butterfly;SLUS-20766, NPUD-20766 (PS2 Classics) SLES-52384 SLPS-25303, SLPS-73201 (PlayStation 2 the Best), SLPS-73256 (PlayStation 2 the Best Reprint), SCKA-20023 (Korea, BigHit), SCAJ-20050
Fatal Frame III: The Tormented;SLUS-21244, NPUD-21244 (PS2 Classics) SLES-53825 SLPS-25544, SLPS-73245 (PlayStation 2 the Best), SLPS-73257 (PlayStation 2 the Best Reprint), SCAJ-20139
Fatal Fury: Battle Archives Volume 1;SLUS-21537 SLES-55231 SLPS-25664 (Neo Geo Online Collection Vol. 5), SLPS-25863 (Neo Geo Online Collection the Best)
Fatal Fury: Battle Archives Volume 2;SLUS-21723 SLPS-25698 (NeoGeo Online Collection Vol. 6), SLPS-25864 (NeoGeo Online Collection the Best), NPJD-00104 (PS2 Classics)
Fate/Stay Night [Realta Nua];SLPM-66513, SLPM-66512 (Extra Edition), SLPM-74270 (Playstation 2 the Best)
Fate/unlimited codes;SLPM-55108, CPCS-01041 (SP Box), SLPM-55238 (Best Price)
Ferrari Challenge Trofeo Pirelli;SLUS-21780 SLES-55294
Ferrari F355 Challenge;SLUS-20558 SCES-50956 SLPM-65178, SLPM-65185 (Asian)
Festa!! Hyper Girls Party;SLPM-66435, SLPM-66434 (Limited Edition)
Fever 6;SLPS-25117
Fever 7;SLPS-20265, SLPS-25211 (Existence unconfirmed)
Fever 8;SLPS-20298
Fever 9;SLPS-20331
FIFA 14;SLUS-27093 SLES-55671 (Legacy Edition), SLES-55672
FIFA 2001;SLUS-20097 SLES-50011, SLES-50012, SLES-50013, SLES-50014, SLES-50015, SLES-50016 SLPS-20054
FIFA Soccer 06;SLUS-21280, SLUS-29160 (Demo) SLES-53533, SLES-53533P (Platinum), SLES-53529, SLES-53530, SLES-53531, SLES-53532, SLES-53529-P (Platinum: The Best of PlayStation 2), SLES-53531-P, SLED-53664 (Demo Pre-Release Version)
FIFA Soccer 07;SLUS-21433, SLUS-29194 (Demo) SLES-54240, SLES-54241, SLES-54243, SLES-54244, SLES-54246, SLES-54241/P (Platinum), SLES-54240/P (Platinum: The Best of PlayStation 2), TLES-54240 (Beta Trial Disc, v1.01), SLED-54327 (Demo) SLKA-25396, SLAJ-25088
FIFA Soccer 08;SLUS-21648 SLES-54871, SLES-54873, SLES-54872, SLES-54870, SLES-54874
FIFA Soccer 09;SLUS-21776 SLES-55247, SLES-55246, SLES-55245 (Platinum: The Best of PlayStation 2), SLES-55244, SLES-55243 SLPM-55134
FIFA Soccer 10;SLUS-21905 SLES-55585, SLES-55584, SLES-55583, SLES-55582, SLES-55581, SLES-55585/P (Platinum: The Best of PlayStation 2) SLPM-55226, SLPM-55271 (EA:SY! 1980)
FIFA Soccer 11;SLUS-21941 SLES-55644, SLES-55643, SLES-55642
FIFA Soccer 12;SLUS-21947 SLES-55653, SLES-55652, SLES-55654
FIFA Soccer 13;SLUS-21954 SLES-55664, SLES-55665
FIFA Soccer 2002;SLUS-20280 SLES-50464, SLES-50465, SLES-50466, SLES-50467, SLES-50469, SLES-50470, SLES-50471 SLPS-25069, SLPM-67503 (Korea)
FIFA Soccer 2003;SLUS-20580 SLES-51197, SLES-51197-P (Platinum), SLED-51342 (Demo) SLPS-25179, SLPM-65193, SLPM-67537 (Korea)
FIFA Soccer 2004;SLUS-20750, SLUS-29086 (Demo) SLES-51953, SLES-51963, SLES-51964, SLES-51953-P (Platinum: The Best of PlayStation 2) SLKA-25087 (Korea)
FIFA Soccer 2005;SLUS-21051, SLUS-29127 (Demo) SLES-52559, SLES-52560, SLES-52561, SLES-52562, SLES-52563, SLES-52560-P (Platinum), SLED-52890 (Demo) SLKA-25209 (Korea)
FIFA Soccer World Championship;SLPS-20020
FIFA Street;SLUS-21147 SLES-53064, SLES-53064/P (Platinum) SLKA-25235 (Korea), SLPM-66047, SLPM-66557 (EA Best Hits)
FIFA Street 2;SLUS-21369 SLES-53796, SLES-53797, SLED-53953 (Demo), SLES-53796/P (Platinum: The Best of PlayStation 2) SLKA-25374 (Korea), SLPM-66443
FIFA Total Football;SLPM-65527
FIFA Total Football 2;SLPM-65746
FIFA World Cup: Germany 2006;SLUS-21408, SLUS-29189 (Demo) SLES-54061, SLES-54062, SLES-54063, SLES-54064, SLES-54081 SLPM-66386, SLAJ-25081
Fight Club;SLUS-20857, SLUS-29124 (Demo) SLES-52718
Fight Night 2004;SLUS-20906, SLUS-29096 (Demo) SLES-52374, SLED-52375 (Demo) SLPM-65587
Fight Night Round 2;SLUS-21161, SLUS-29145 (Demo) SLES-53084 SLKA-25242 (Korea), SLPM-66072, SLPM-55035 (EA:SY! 1980)
Fight Night Round 3;SLUS-21383, SLUS-21383GH (Greatest Hits), SLUS-29183 (Demo) SLES-53982, SLED-53983 (Demo) 
FightBox;SLES-51390
Fighter Maker 2;SLUS-20524 SLPS-20214, SLPS-20318 (Enterbrain Collection)
Fighting for One Piece;SLPS-25545
Fighting Fury;SLES-51056 SLPS-20038
Final Approach;SLPM-65676, SLPM-65675 (Limited Edition), SLPM-66323 (Princess Soft Collection)
Final Approach 2: 1st Priority;SLPM-66943, SLPM-66942 (First Print Limited Edition)
Final Armada;SLES-54467
Final Fantasy X;SLUS-20312, SLUS-20312GH (Greatest Hits) SCES-50490 (Australia), SCES-50493, SCES-50490/P (Platinum), SCES-50492, SCES-50491, SCES-50494, SCED-50907 (Bonus Disc - Beyond Final Fantasy), SCED-50642 (Demo), SCES-50492-P (Platinum) SLPS-25050, SLPS-72501 (Mega Hits!), SLPM-66124 (Ultimate Hits)
Final Fantasy X International;SLPS-25088, SLPM-67513, SLPM-66677 (Ultimate Hits), SLKA-25214 (PlayStation 2 - Big Hit Series), SLPM-65115 (Asian)
Final Fantasy X-2;SLUS-20672, SLUS-20672GH (Greatest Hits) SLES-51815, SLES-51815/P (Platinum), SLES-51817, SLES-51816, SLES-51818, SLES-51819 SLPS-25250, SLAJ-25012, SLKA-25144, SLPM-66125 (Ultimate Hits), SCAJ-25012
Final Fantasy X-2 International + Last Mission;SLPM-65478, SLPM-66678 (Ultimate Hits), SCAJ-20068
Final Fantasy X/X-2 Ultimate Box;SE-W0001
Final Fantasy XI;SCUS-97266 (Disc 1), SCUS-97269 (Disc 2, PlayOnline Viewer and Tetra Master) SLPS-25200, SLPS-20200, SLPS-25160 (Special Art Box), SLPS-20232 (Special Art Pack), SLPM-62333, SLPM-65289 (PlayOnline Entry Disc), SLPM-65953 (Entry Disc 2005)
Final Fantasy XI: A Moogle Kupo d'Etat; 
Final Fantasy XI: A Shantotto Ascension;
Final Fantasy XI: Adoulin no Makyou;SLPM-55298
Final Fantasy XI: All in One Pack 2004;SLPM-65706
Final Fantasy XI: Chains of Promathia;SLUS-21070 SLPM-65705
Final Fantasy XI: Girade no Genei;SLPM-65288 (All in Pack 2003), SLPM-65287, SLPM-62332 (PlayOnline Viewer: Tetra Master & Janhourou)
Final Fantasy XI: Online;SCUS-97271 (Beta Version), SCUS-97272 (Beta Version, PlayOnline Viewer & Tetra Master from FF XI), SCUS-97380 (Demo) SLPM-62135 (β Version), SLPM-62134 (Beta Edition, PlayOnline Viewer & Tetra Master)
Final Fantasy XI: Rhapsodies of Vana'diel;
Final Fantasy XI: Seki no Miru Yume;
Final Fantasy XI: Treasures of Aht Urhgan;SLUS-21404 SLPM-66394, SLPM-66393 (All in Pack 2006)
Final Fantasy XI: Vana'diel Collection 2008;SLUS-21704 SLPM-66893
Final Fantasy XI: Vana'diel Collection 2010;SLPM-55229
Final Fantasy XI: Wings of the Goddess;SLUS-21694 SLPM-66894
Final Fantasy XII;SLUS-20963, SLUS-21475 (Collector's Edition), SLUS-20963GH (Greatest Hits), SLUS-29171 (Demo) SLES-54357, SLES-54354, SLES-54357/P (Platinum), SLES-54355, SLES-54356, SLES-54358, SLES-54354/P (Platinum: The Best of PlayStation 2) SCAJ-20172, SLPM-66320, SCKA-20073, SLPM-55022 (Ultimate Hits), SLPM-66750 (with Bonus DVD), SCAJ-20188, SLPM-55210 (Ultimate Hits), SCKA-20138 (Ultimate Hits)
Final Fight: Streetwise;SLUS-21238 SLES-53853
Finalist;SLPM-66254, SLPM-66253 (First Print Limited Edition), SLPM-66911 (Princess Soft Collection)
Finkles World;SLES-54955
Finny the Fish & the Seven Waters;SLUS-21072 SCPS-15069, NPJC-00008 (PS2 Classics), SCAJ-20088
Fire Heroes;SLES-53237 SLPM-65695
Fire Pro Wrestling Returns;SLUS-21702, NPUD-21702 (PS2 Classics) SLES-55041 SLPM-66082, SLPM-66388 (Spike the Best)
Fire ProWrestling Z;SLPM-62342, SLPM-62287 (DX Box)
Fireblade;SLUS-20198, SLUS-29030 (Demo) SLES-50716, SLES-50995, SLED-51062 (Demo)
Firefighter F.D. 18;SLUS-20724 SLES-52096 SLPM-65470, VW152-J1, SLPM-65744 (Konami the Best), VW152-J2 (Konami the Best), SLPM-66017 (Konami Dendou Collection), VW152-J4 (Konami Dendou Collection)
First Kiss * Monogatari I & II;SLPM-65313, SLPM-65256 (Limited Edition)
Fisherman's Challenge;SLUS-20553 SLES-51418
Fishing Fantasy: BuzzRod;SLES-53236 SLPM-62578
Flame of Recca: Final Burning;SLPM-65604, VW224-J1, SLPM-66155 (Konami Dendou Collection), VW224-J4 (Konami Dendou Collection)
FlatOut;SLUS-20901 SLES-52753, SLES-52754 SLPM-66043, VW278-J1, SLPM-66703 (Konami the Best), VW278-J2 (Konami the Best), SLPM-61127 (Trial)
FlatOut 2;SLUS-21251 SLES-54002, SLES-54003 SLKA-25401, SLPM-66591, VW334-J1
Flipnic: Ultimate Pinball;SLUS-21157, SLUS-29149 (Demo) SLES-52065, SCES-52065 SCPS-15050
Flow: Urban Dance Uprising;SLUS-21319 SLES-53848
Flying Circus;SLPM-62096, SLPM-62095 (Prop Pack)
Football Generation;SLES-51959
Football Kingdom: Touring Edition;SLPS-20374
For Symphony: With All One's Heart;SLPS-25506
Forbidden Siren 2;SCES-53851 SCPS-15106, SCPS-19326 (PlayStation 2 the Best), SCAJ-20161, SCAJ-20167, SCKA-20069
Ford Bold Moves Street Racing;SLUS-21290 SLES-53639, SLES-54519
Ford Mustang - The Legend Lives;SLUS-21162 SLES-53296
Ford Racing 2;SLUS-20788 SLES-51705
Ford Racing 3;SLUS-20976 SLES-52720
Ford Racing: Off Road;SLUS-21696 SLES-55032
Ford vs. Chevy;SLUS-21276 SLES-53698
Forever Kingdom;SLUS-20343 SLPS-25044
Forgotten Realms: Demon Stone;SLUS-20804 SLES-52669, SLED-52852 (Demo) SLKA-25252 (Korea), SLPM-65927
Formation Final;SLPM-65372, VW144-J1
Formula Challenge;SLES-52403
Formula One 04;SCES-52042, SCED-52687 (Demo), SCES-52042/P (Platinum), TCES-52042 (Beta Trial Disc) SCPS-15083, SCCS-40019
Formula One 05;SCES-53033, SCES-53033/P (Platinum: The Best of PlayStation 2), TCES-53033 (Beta Trial Disc), SCED-53448 (Demo), SCED-53447 (Press Kit Demo) SCPS-15098
Formula One 06;SCES-53950, SCED-54207 (Demo), SCES-53950/P (Platinum: The Best of PlayStation 2) SCPS-15117
Formula One 2001;SCUS-97150 SCES-50004, SCES-50004-P (Platinum), SCED-50254 (Bonus Disc: Official Review of the 2000 FIA Formula 1 World Championship), SCED-50313 (Demo) SCPS-15019
Formula One 2002;SCES-51004, SCED-51323 (Bonus Disc: The Official Review of the 2001 FIA Formula One World Championship) SCPS-15032, SCPS-55047
Formula One 2003;SCES-51592
Formula Suzuki Hayabusa Time Attack;SLPM-68003
Fragments Blue;SLPM-66203, SLPM-66202 (Special Edition)
Fragrance Tale;SLPS-25494
Frank Herbert's Dune;SLES-50654
Frankie Dettori Racing;SLES-53314
Franklin: A Birthday Surprise;SLUS-21382 SLES-53903
Freak Out: Extreme Freeride;SLES-54653
Freaky Flyers;SLUS-20284, SLUS-29051 (Demo, Rating Pending version), SLUS-29061 (Demo) SLES-50713
Free Running;SLES-54559
Freedom Fighters;SLUS-20658 SLES-51467, SLES-51469, SLES-51470, SLES-51468, SLES-51471 SLPM-65548, SLPM-65803 (EA Best Hits)
Freekstyle;SLUS-20367, SLUS-20367GH (Greatest Hits) SLES-50753 SLPS-20231, SLPM-64517
Freestyle Metal X;SLUS-20494 SLES-50720
Frequency;SCUS-97125, SCUS-97157 (Demo) SCES-50791
Friends: Seishun no Kagayaki;SLPS-25385, SLPM-66201 (Best Version)
Friends: The One with All the Trivia;SLUS-21313 SLES-53813, SLES-53803, SLES-53761, SLES-53955
Frogger Beyond;SLES-51409 SLPM-65304, VW082-J1, SLPM-65570 (Konami Dendou Collection), VW082-J4 (Konami Dendou Collection)
Frogger's Adventures: The Rescue;SLUS-20734 SLPM-65501, VW134-J1
Frogger: Ancient Shadow;SLUS-21098
Frogger: The Great Quest;SLUS-20257 SLES-50788
From Russia With Love;SLUS-21282, SLUS-29168 (Demo) SLES-53553, SLED-53673 (Demo) SLPM-66322
From Russia With Love & Need for Speed Most Wanted & SSX On Tour;SLUS-29167 SLED-53681
From Software First Previews;SLPM-60102
Front Mission 4;SLUS-20888, SLUS-29098 (Demo, Square Enix Sampler Disc Volume Two) SLPM-65443, SLPM-66420 (Ultimate Hits), SCAJ-20057
Front Mission 5: Scars of the War;SLPM-66205, SLPM-66421 (Ultimate Hits), SCAJ-20166
Front Mission Online;SLPM-65981, SLPM-68514 (Beta Version)
Fruit Machine Mania;SLES-54060
Fruitfall;SLES-53148
Fu-un Bakumatsu-den;SLPM-65813, SLKA-25257 (Korea), SLPM-74228 (PlayStation 2 the Best), SLPS-73228 (PlayStation 2 The Best), NPJD-00070 (PS2 Classics), SCAJ-20117
Fu-un Shinsengumi;SLPM-65494, SLPM-74202 (PlayStation 2 the Best), NPJD-00056 (PS2 Classics), SLKA-25139, SLPM-60225 (Trial)
Fugitive Hunter: War on Terror;SLUS-20464 SLES-52367, SLES-52366, SLES-52856 (Demo)
Fukakutei Sekai no Tantei Shinshi: Akugyou Futaasa no Jiken File;SLPM-55121, SLPM-55120 (Lijmited Edition)
Full House Kiss;SLPM-65638, SLPM-66640 (CapKore), NPJD-00019 (PS2 Classics), SLPM-60243 (Trial)
Full House Kiss 2;SLPM-66288, SLPM-66664 (CapKore), SLPM-60274 (Trial)
Full Spectrum Warrior;SLUS-21145 SLES-53114, SLES-53131 SLKA-25264, SLPM-66263
Full Spectrum Warrior: Ten Hammers;SLUS-21250 SLES-53656, SLES-53909 SLKA-25368, SLPM-66427
Fullmetal Alchemist 2: Curse of the Crimson Elixir;SLUS-21166 SLPM-65747, SLPM-65708 (Limited Edition), SLPM-61087 (Trial)
Fullmetal Alchemist 3: Kami o Tsugu Shoujo;SLPM-66073
Fullmetal Alchemist and the Broken Angel;SLUS-20994 SLPM-65473
Fullmetal Alchemist: Dream Carnival;SLPS-25402, SLKA-25352 (Korea)
FunkMaster Flex's Digital Hitz Factory;SLUS-20785 SLES-51363
Fur Fighters: Viggo's Revenge;SLUS-20088 SLES-50106
Furasera;SLPM-65523, SLPM-65493 (First Print Limited Edition)
Furry Tales;SLES-52824
Fushigi no Kuni no Alice;SLPM-62341
Fushigi no Umi no Nadia: Inherit the Blue Water;SLPM-66112, SLPM-66110 (Collector's Edition, disc 1), SLPM-66111 (Collector's Edition, disc 2: Denno Batoru Misu Nochirasu Kontesuto)
Fushigi Yuugi Genbu Kaiden Gaiden -Kagami no Miko-;SLPM-66024, SLPM-67000 (IF Collection), SLPM-66023 (Limited Edition)
Fushigi Yuugi: Suzaku Ibun;SLPM-66999, SLPM-66998 (Limited Edition)
Futakoi;SLPS-25410, SLPS-25409 (Limited Edition)
Futakoi Alternative;SLPS-25516, SLPS-25515 (First Print Limited Edition), SLPS-25633 (Best Collection)
Futakoi: Koi to Mizugi no Survival;SLPS-25543
Futari no Fantavision;SCPS-15030, SCPS-55032
Futurama;SLUS-20439 SLES-51507
Future Tactics: The Uprising;SLUS-20859 SLES-52701
Fuuraiki;SLPM-66458, SLPM-66991 (Nice Price!), NPJD-00110 (PS2 Classics)
Fuuraiki 2;SLPM-66163, SLPM-66992 (Nice Price!), NPJD-00111 (PS2 Classics)
Fuuun Super Combo;SLPS-25781 (NeoGeo Online Collection Vol. 8), SLPS-25866 (SNK the Best), NPJD-00105 (PS2 Classics)
G-Con 2 Competition Demo;SCED-52094
G-Force;SLUS-21891 SLES-55499, SLES-55500, SLES-55502
G-Force;SLES-53934
G-Saviour;SLPS-25009
G-Taste Mahjong;SLPM-62327, SLPM-62326 (Limited Edition w/ Figure), SLPM-62453 (Psikyo Best)
G.I. Joe: The Rise of Cobra;SLUS-21886 SLES-55537
G1 Jockey;SLES-50584 SLPM-62061
G1 Jockey 2;SLPM-62020, SLPM-62017, SLPM-62018 (w/ Winning Post 4 Maximum), SLPM-62262 (Koei the Best), SLPM-62415 (Koei Teiban Series), SLPM-60125 (Trial)
G1 Jockey 3;SLUS-20690 SLES-51357 SLPM-62277, SLPM-62279, SLPM-62280, SLPM-62536 (Koei the Best), SLPM-62747 (Koei Teiban Series)
G1 Jockey 3 2003;SLPM-62392, SLPM-62393, SLPM-65385 (w/Winning Post 6)
G1 Jockey 3 2005 Nendoban;SLPM-62591
G1 Jockey 4;SLES-53917 SLPM-66229, KOEI-00056 (Premium Box), SLPM-66227 (Twin Pack), SLPM-66228 (Twin Pack), SLPM-66812 (Koei the Best)
G1 Jockey 4 2006;SLPM-66538
G1 Jockey 4 2007;SLPM-66888
G1 Jockey 4 2007 & Winning Post 7 Maximum 2007 Premium Pack;SLPM-66903 (G1 Jockey 4 2007), SLPM-66904 (Winning Post 7 Maximum 2007)
G1 Jockey 4 2008; SLPM-55072, SLPM-55073 (Twin Pack w/ WinningPost 7 Maximum 2008)
Gacharoku;SCPS-11026, NPJC-00004 (PS2 Classics)
Gacharoku 2: Kondo wa Sekai Isshuu yo!!;SCPS-11034
Gachinko Pro Yakyuu;SLPS-20301
Gadget & the Gadgetinis;SLES-52845
Gadget Racers;SLES-51911 SLPM-62244, SLPM-62595 (The Best TakaraMono), SLPM-62771 (Atlus Best Collection)
Gaelic Games: Football;SCES-53450
Gaelic Games: Football 2;SCES-54638
Gaelic Games: Hurling;SCES-54637
Gaika no Gouhou;SLPM-65260, SLPM-65716 (Koei the Best), SLPM-66526 (Koei Teiban Series)
Gakkou o Tsukurou!! Happy Days;SLPS-25471, SLPS-25598 (Best Collection)
Gakuen Alice;SLPM-66293
Gakuen Heaven: Boy's Love Scramble!;SLPS-25282, SLPM-66519 (Best Version), SLPM-66984 (Best Version)
Gakuen Heaven: Boy's Love Scramble: Type B;SLPS-25381
Gakuen Heaven: Okawari!;SLPM-62597, SLPM-62743 (Best Version), SLPM-62776 (Best Version)
Gakuen Toshi Vara Noir;SLPM-62238, SLPM-62237 (Limited Edition)
Gakuen Utopia: Manabi Straight! KiraKira Happy Festa!;SLPS-25752, SLPS-25751 (Limited Edition)
Galactic Wrestling: Featuring Ultimate Muscle;SLUS-20822, SLUS-29104 (Demo) SLPS-20369, SLKA-15034 (Korea), SLPS-73105 (PlayStation 2 the Best)
Galaxy Angel;SLPM-65254, SLPM-66290 (Broccoli Best Quality), SLPM-61045 (Trial)
Galaxy Angel Anime Commemoration Rune Box;PBGP-0055
Galaxy Angel II: Eigou Kaiki no Koku;SLPM-55118 (Disc 1), SLPM-55119 (Disc 2), PBGP-0075 (Complete Set), PBGP-0074 (DX Pack)
Galaxy Angel II: Mugen Kairou no Kagi;SLPM-66779 (Disc 1), SLPM-66780 (Disc 2), PBGP-0056 (Deluxe Pack), PBGP-0060 (Zettai Mugen Set), SLPM-55093 (Broccoli Best Quality, Disc 1), SLPM-55094 (Broccoli Best Quality, Disc 2)
Galaxy Angel II: Zettairyouiki no Tobira;SLPM-66243, PBGP-0039 (Deluxe Pack), SLPM-55029 (Broccoli Best Quality)
Galaxy Angel: Eternal Lovers;SLPM-65878, SLPM-65905 (Special Package), SLPM-66778 (Broccoli Best Quality)
Galaxy Angel: Eternal Lovers Set of 3 Eternal Package;PBGP-0028
Galaxy Angel: Moonlit Lovers;SLPM-65540, SLPM-65429 (First Print Limited Edition), SLPM-66604 (Broccoli Best Quality), SLPM-61073 (Trial)
Galerians: Ash;SLUS-20560 SLES-51343 SLPS-25119, SLPS-25096 (Rion Complete Pack), SLPS-25280 (Enterbrain Collection)
Galidor: Defenders of the Outer Dimension;
Galileo Mystery: The Crown of Midas;SLES-55599
Gallop Racer 2001;SLUS-20255 SLPS-25036
Gallop Racer 2003: A New Breed;SLUS-20662 SLES-51896 SLPS-25177, SLPS-73415 (PlayStation 2 the Best), SCAJ-20002
Gallop Racer 2004;SLUS-21031 SLES-53011 SLPS-25333, SCAJ-20069
Gallop Racer 2006;SLUS-21393 SLPS-25564, SCAJ-20156
Gallop Racer Inbreed;SLPS-25701
Gambler Densetsu Tetsuya;SLPS-20096, SLPS-73004 (PlayStation2 the Best)
Gambler Densetsu Tetsuya Digest;SLPM-62499, SLPM-62574 (Athena Best Collection Vol. 3)
Gambler Densetsu Tetsuya: Kurouto Choujou Kessen;SLPM-65318, SLPM-65595 (Athena Best Collection Vol. 1)
Game Center USA;SLPM-66467
Game ni Nattayo! Dokuru-chan;SLPM-66186, SLPM-66185 (First Print Limited Edition)
Game Select 5 Wa;SLPS-20028
Game Select 5 You;SLPS-20071
Games Galaxy 2;SLES-54866
Games of Our Style: Tokyo Game Show 2003 Disc;PCPX-96554
Gangsters Ride;
Gantz: The Game;SLPM-65950, VW258-J1
Garfield;SLES-52843
Garfield: A Tail of Two Kitties; SLES-54172
Garfield: Lasagna World Tour;SLUS-21749 SLES-55043, SLES-54817, SLES-55042
Garfield: Saving Arlene;SLES-53587 SLPM-66378, SLPM-62733
Garou: Mark of the Wolves;SLPS-25504 (NeoGeo Online Collection Limited Edition), SLPS-25509 (NeoGeo Online Collection Vol. 1), SLPS-25793 (SNK Best Collection), NPJD-00094 (PS2 Classics)
Garouden Breakblow;SLPS-25530, SLPM-60267 (Demo, Taikenban)
Garouden Breakblow: Fist or Twist;SLPS-25747
Gauntlet Dark Legacy;SLUS-20047 SLES-50211 SLPM-62125
Gauntlet: Seven Sorrows;SLUS-21077 SLES-53667
Gecko Blaster;SLES-54882
Gegege no Kitarou: Ibun Youkai Kitan;SLPM-65337, VW135-J1, SLPM-65627 (Konami the Best), VW135-J2 (Konami the Best)
Gekibo 2;SLES-50557 (Preview Build, CDr) SLPS-20091
Gekikuukan Pro Baseball: The End of the Century 1999;SLPS-20010, SLPM-60123 (Trial)
Gekitou Pro Yakyuu;SLPM-65335
Gendai Daisenryaku: Isshoku Sokuhatsu - Gunji Balance Houkai;SLPS-25940, SLPS-25985 (System Soft Selection)
Gendai Yougo no Kiso Chishiki 2001;SLPS-20115
Gene Troopers; SLES-53644
Generation of Chaos;SLPS-20087, SLPS-20086 (Limited Edition)
Generation of Chaos Desire;SLPM-66843
Generation of Chaos III: Toki no Fuuin;SLPM-65279, SLPM-65278 (Limited Edition), SLPM-66080 (IF Collection), SCAJ-20026
Generation of Chaos IV;SLPM-65572, SLPM-65571 (Limited Edition), SLPM-66025 (IF Collection)
Generation of Chaos Next;SLPM-62161, SLPM-62164 (Limited Edition), SLPM-62697 (If Collection)
Genji: Dawn of the Samurai;SCUS-97471, SCUS-97504 (Demo) SCES-53328 SCAJ-20134, SCPS-15095, SCKA-20052, SCPS-19318 (PlayStation 2 the Best), PAPX-90522 (Trial)
Genshi no Kotoba;SCPS-15014, PCPX-96619 (Trial)
Georama Sensen Ijou Nashi;SLPM-66038
George of the Jungle and the Search for the Secret;SLUS-21668 SLES-54975
Germany Special Issue 3;SCED-51375
Germany's Next Topmodel;SLES-55529
Get On Da Mic;SLUS-21036 SLES-52811
Get Ride! AMDriver: Soukoku no Shinjitsu;SLPM-65949, VW272-J1
GetBackers Dakkanya: Dakkandayo! Zenin Shuugou!!;SLPM-62276, VW109-J1, SLPM-62376 (Konami the Best), VW109-J2 (Konami the Best)
GetBackers Dakkanya: Ubawareta Mugenjou;SLPM-62186, VW087-J1, SLPM-62377 (Konami the Best), VW087-J2 (Konami the Best)
GetBackers Dakkanya: Urashinshiku Saikyou Battle;SLPM-62476, VW186-J1
Getsumento Heiki Mina: Futatsu no Project M;SLPM-66754, SLPM-66753 (Limited Edition)
